Year, city1                                  , city2                                  , nsmiles, fare
2024, "Albuquerque, NM"                      , "Dallas/Fort Worth, TX"                ,     580, 199.37
2024, "Albuquerque, NM"                      , "Phoenix, AZ"                          ,     328, 187.76
2024, "Albuquerque, NM"                      , "Washington, DC (Metropolitan Area)"   ,    1670, 309.43
2024, "Albuquerque, NM"                      , "Chicago, IL"                          ,    1121, 252.74
2024, "Albuquerque, NM"                      , "Houston, TX"                          ,     759, 234.26
2024, "Albuquerque, NM"                      , "New York City, NY (Metropolitan Area)",    1861, 387.96
2024, "Albuquerque, NM"                      , "San Francisco, CA (Metropolitan Area)",     896, 231.27
2024, "Albuquerque, NM"                      , "Los Angeles, CA (Metropolitan Area)"  ,     677, 209.01
2024, "Atlantic City, NJ"                    , "Miami, FL (Metropolitan Area)"        ,     998, 103.9
2024, "Colorado Springs, CO"                 , "Dallas/Fort Worth, TX"                ,     602, 164.42
2024, "Colorado Springs, CO"                 , "Phoenix, AZ"                          ,     551, 169.3
2024, "Colorado Springs, CO"                 , "Los Angeles, CA (Metropolitan Area)"  ,     833, 171.34
2024, "Dallas/Fort Worth, TX"                , "Pittsburgh, PA"                       ,    1067, 224.91
2024, "Dallas/Fort Worth, TX"                , "Denver, CO"                           ,     651, 163.48
2024, "Dallas/Fort Worth, TX"                , "Tucson, AZ"                           ,     824, 234.66
2024, "Dallas/Fort Worth, TX"                , "Phoenix, AZ"                          ,     879, 207.6
2024, "Dallas/Fort Worth, TX"                , "Hartford, CT"                         ,    1471, 277.13
2024, "Dallas/Fort Worth, TX"                , "Seattle, WA"                          ,    1670, 234.54
2024, "Dallas/Fort Worth, TX"                , "El Paso, TX"                          ,     562, 187.17
2024, "Dallas/Fort Worth, TX"                , "Nashville, TN"                        ,     631, 213.38
2024, "Dallas/Fort Worth, TX"                , "Washington, DC (Metropolitan Area)"   ,    1217, 213.97
2024, "Dallas/Fort Worth, TX"                , "St. Louis, MO"                        ,     550, 213.63
